Hostname, Application Class, Instance, Parameter, Thresholds, Alarm Email, Warning Email, Blackout Period
ALABAMA,AS_EVENTSPRING,EVENTSPRING,AgentLoginDenied,ALARM if value is not equal to 0 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,AS_EVENTSPRING,EVENTSPRING,AlertTest,WARNING if value is between 1 and 50 <BR>ALARM if value is between 51 and 100 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,AS_EVENTSPRING,EVENTSPRING,RefreshParamSettings,ALARM if value is above 1000 or below 0 <BR>Cycle time is 1.58 minutes,,, 00:00--00:00<br>
ALABAMA,NT_BSK,BlueScreen,BskStatus,WARNING if value is equal to 1 <BR>ALARM if value is equal to 2 <BR>Can't determine cycle time,,, 00:00--00:00<br>
ALABAMA,NT_CACHE,NT_CACHE,CACcachCopyReadHitsPercent,ALARM if value is above 100 or below 0 <BR>ALARM if value is between 0 and 19 <BR>WARNING if value is between 19 and 30 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,NT_CPU,CPU_0,CPUprcrPrivTimePercent,ALARM if value is above 100 or below 0 <BR>WARNING if value is between 90 and 95 <BR>ALARM if value is between 95 and 100 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,NT_CPU,CPU_0,CPUprcrProcessorTimePercent,ALARM if value is above 100 or below 0 <BR>WARNING if value is between 90 and 95 <BR>ALARM if value is between 95 and 100 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,NT_CPU,CPU_0,CPUprcrUserTimePercent,ALARM if value is above 100 or below 0 <BR>WARNING if value is between 90 and 95 <BR>ALARM if value is between 95 and 100 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,NT_CPU,CPU_1,CPUprcrPrivTimePercent,ALARM if value is above 100 or below 0 <BR>WARNING if value is between 90 and 95 <BR>ALARM if value is between 95 and 100 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,NT_CPU,CPU_1,CPUprcrProcessorTimePercent,ALARM if value is above 100 or below 0 <BR>WARNING if value is between 90 and 95 <BR>ALARM if value is between 95 and 100 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
ALABAMA,NT_CPU,CPU_1,CPUprcrUserTimePercent,ALARM if value is above 100 or below 0 <BR>WARNING if value is between 90 and 95 <BR>ALARM if value is between 95 and 100 <BR>Cycle time is 1 minutes,,, 00:00--00:00<br>
